,Hour,Energy Demand,Water Demand,Factor Wind,Wind Output,Wind Usage,Wind Over,Factor PV,PV Output,PV Usage,PV Over,Dam Output,Storage,Turbine Water,River,Valve,Water Balance,Installed Wind,Installed PV
0,0,7.59,3642.03,0.07,4.1,4.1,0.0,0.0,0.0,0.0,0.0,3.49,2968164.69,71721.7,76471.57,0.0,1107.84,56.85,51.64
1,1,7.84,2601.45,0.14,7.86,7.84,0.02,0.0,0.0,0.0,0.0,0.0,3042011.69,0.0,76448.45,0.0,73847.0,56.85,51.64
2,2,8.46,1977.1,0.08,4.53,4.53,0.0,0.0,0.0,0.0,0.0,3.94,3035560.55,80899.36,76425.32,0.0,-6451.14,56.85,51.64
3,3,9.46,1560.87,0.03,1.7,0.0,1.7,0.0,0.0,0.0,0.0,9.46,2916058.36,194343.51,76402.2,0.0,-119502.19,56.85,51.64
4,4,10.58,1977.1,0.03,1.43,0.0,1.43,0.0,0.0,0.0,0.0,10.58,2773101.91,217358.42,76379.07,0.0,-142956.45,56.85,51.64
5,5,11.33,3017.68,0.03,1.7,0.0,1.7,0.0,0.0,0.0,0.0,11.33,2613739.82,232700.35,76355.94,0.0,-159362.09,56.85,51.64
6,6,11.7,5775.22,0.03,1.97,0.0,1.97,0.13,6.58,6.58,0.0,5.12,2579156.01,105141.4,76332.82,0.0,-34583.8,56.85,51.64
7,7,12.2,7180.01,0.06,3.34,0.0,3.34,0.25,13.05,12.2,0.86,0.0,2648285.7,0.0,76309.69,0.0,69129.68,56.85,51.64
8,8,11.82,7544.21,0.09,4.95,0.0,4.95,0.36,18.6,11.82,6.78,0.0,2717028.05,0.0,76286.56,0.0,68742.35,56.85,51.64
9,9,11.7,7023.92,0.16,9.0,9.0,0.0,0.44,22.65,2.7,19.96,0.0,2786267.57,0.0,76263.44,0.0,69239.52,56.85,51.64
10,10,11.7,5983.34,0.28,16.07,0.0,16.07,0.48,24.59,11.7,12.89,0.0,2856524.54,0.0,76240.31,0.0,70256.97,56.85,51.64
11,11,12.57,5358.99,0.47,26.85,12.57,14.28,0.47,24.45,0.0,24.45,0.0,2927382.74,0.0,76217.18,0.0,70858.19,56.85,51.64
12,12,12.2,5150.87,0.6,33.87,0.0,33.87,0.43,22.22,12.2,10.02,0.0,2998425.92,0.0,76194.06,0.0,71043.18,56.85,51.64
13,13,11.33,5098.84,0.57,32.65,11.33,21.33,0.35,18.09,0.0,18.09,0.0,3069498.01,0.0,76170.93,0.0,71072.09,56.85,51.64
14,14,11.2,5046.82,0.38,21.57,11.2,10.37,0.24,12.43,0.0,12.43,0.0,3140599.0,0.0,76147.8,0.0,71100.99,56.85,51.64
15,15,11.2,4994.79,0.17,9.63,9.63,0.0,0.11,5.82,1.57,4.25,0.0,3211728.89,0.0,76124.68,0.0,71129.89,56.85,51.64
16,16,12.32,5463.05,0.08,4.53,4.53,0.0,0.01,0.52,0.0,0.52,7.8,3122197.43,160169.96,76101.55,0.0,-89531.46,56.85,51.64
17,17,13.44,6243.48,0.07,4.1,4.1,0.0,0.0,0.0,0.0,0.0,9.34,3000124.11,191908.26,76078.42,0.0,-122073.32,56.85,51.64
18,18,14.81,7284.06,0.06,3.34,0.0,3.34,0.0,0.0,0.0,0.0,14.81,2764593.97,304301.38,76055.3,0.0,-235530.15,56.85,51.64
19,19,14.31,7700.3,0.07,4.1,4.1,0.0,0.0,0.0,0.0,0.0,10.21,2623118.33,209807.52,76032.17,0.0,-141475.64,56.85,51.64
20,20,13.19,7388.12,0.1,5.8,0.0,5.8,0.0,0.0,0.0,0.0,13.19,2420681.06,271058.19,76009.05,0.0,-202437.26,56.85,51.64
21,21,11.82,6763.77,0.12,6.83,6.83,0.0,0.0,0.0,0.0,0.0,4.99,2387310.69,102592.52,75985.92,0.0,-33370.38,56.85,51.64
22,22,10.7,5723.19,0.11,6.31,6.31,0.0,0.0,0.0,0.0,0.0,4.39,2367380.19,90170.1,75962.79,0.0,-19930.5,56.85,51.64
23,23,7.97,4162.32,0.09,5.37,5.37,0.0,0.0,0.0,0.0,0.0,2.59,2385931.65,53225.88,75939.67,0.0,18551.46,56.85,51.64
24,24,7.72,3642.03,0.03,1.97,0.0,1.97,0.0,0.0,0.0,0.0,7.72,2299662.76,158543.4,75916.54,0.0,-86268.89,56.85,51.64
25,25,7.59,2601.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.59,2216968.45,155986.27,75893.41,0.0,-82694.31,56.85,51.64
26,26,7.59,1977.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.59,2134875.36,155986.27,75870.29,0.0,-82093.09,56.85,51.64
27,27,7.97,1560.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97,2045504.01,163657.64,75847.16,0.0,-89371.35,56.85,51.64
28,28,8.71,1977.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71,1940350.36,179000.58,75824.03,0.0,-105153.65,56.85,51.64
29,29,9.71,3017.68,0.0,0.0,0.0,0.0,0.02,0.82,0.0,0.82,9.71,1813675.82,199457.76,75800.91,0.0,-126674.53,56.85,51.64
30,30,10.83,5775.22,0.0,0.0,0.0,0.0,0.12,6.45,6.45,0.0,4.38,1793642.22,90036.17,75777.78,0.0,-20033.61,56.85,51.64
31,31,11.7,7180.01,0.02,1.16,0.0,1.16,0.25,12.86,11.7,1.17,0.0,1862216.86,0.0,75754.65,0.0,68574.65,56.85,51.64
32,32,11.95,7544.21,0.04,2.31,0.0,2.31,0.36,18.36,11.95,6.41,0.0,1930404.18,0.0,75731.53,0.0,68187.32,56.85,51.64
33,33,12.32,7023.92,0.09,4.95,0.0,4.95,0.44,22.6,12.32,10.28,0.0,1999088.67,0.0,75708.4,0.0,68684.48,56.85,51.64
34,34,11.95,5983.34,0.2,11.5,11.5,0.0,0.48,24.53,0.0,24.53,0.44,2059664.99,9125.61,75685.27,0.0,60576.33,56.85,51.64
35,35,11.7,5358.99,0.33,18.69,0.0,18.69,0.47,24.37,11.7,12.67,0.0,2129968.15,0.0,75662.15,0.0,70303.16,56.85,51.64
36,36,12.32,5150.87,0.45,25.72,0.0,25.72,0.43,22.14,12.32,9.82,0.0,2200456.3,0.0,75639.02,0.0,70488.15,56.85,51.64
37,37,12.69,5098.84,0.6,33.87,0.0,33.87,0.35,17.98,12.69,5.28,0.0,2270973.35,0.0,75615.89,0.0,70517.05,56.85,51.64
