;Hour;Energy Demand;Water Demand;Factor Wind;Wind Output;Wind Usage;Wind Over;Factor PV;PV Output;PV Usage;PV Over;Dam Output;Storage;Turbine Water;River;Water Balance;Valve;Installed Wind;Installed PV
0;0;22,78;10956,11;0,07;0,96;0,0;0,96;0,0;0,0;0,0;0,0;22,78;1876369,32;467958,82;764715,75;285800,81;0,0;13,34;81,09
1;1;23,52;7825,79;0,14;1,84;0,0;1,84;0,0;0,0;0,0;0,0;23,52;2149726,45;483301,56;764484,48;273357,13;0,0;13,34;81,09
2;2;25,39;5947,6;0,08;1,06;0,0;1,06;0,0;0,0;0,0;0,0;25,39;2386373,06;521659,0;764253,22;236646,62;0,0;13,34;81,09
3;3;28,38;4695,48;0,03;0,4;0,0;0,4;0,0;0,0;0,0;0,0;28,38;2562669,0;583030,54;764021,95;176295,94;0,0;13,34;81,09
4;4;31,74;5947,6;0,03;0,34;0,0;0,34;0,0;0,0;0,0;0,0;31,74;2668436,85;652075,25;763790,69;105767,84;0,0;13,34;81,09
5;5;33,98;9077,92;0,03;0,4;0,0;0,4;0,0;0,0;0,0;0,0;33,98;2724817,3;698101,05;763559,42;56380,45;0,0;13,34;81,09
6;6;35,1;17373,26;0,03;0,46;0,0;0,46;0,13;10,34;0,0;10,34;35,1;2749655,24;721116,96;763328,16;24837,94;0,0;13,34;81,09
7;7;36,59;21599,19;0,06;0,78;0,0;0,78;0,25;20,5;0,0;20,5;36,59;2739348,12;751804,82;763096,9;-10307,12;0,0;13,34;81,09
8;8;35,47;22694,8;0,09;1,16;0,0;1,16;0,36;29,21;0,0;29,21;35,47;2750730,03;728788,92;762865,63;11381,91;0,0;13,34;81,09
9;9;35,1;21129,64;0,16;2,11;0,0;2,11;0,44;35,58;0,0;35,58;35,1;2771117,79;721116,96;762634,37;20387,77;0,0;13,34;81,09
10;10;35,1;17999,33;0,28;3,77;0,0;3,77;0,48;38,61;0,0;38,61;35,1;2794404,61;721116,96;762403,1;23286,82;0,0;13,34;81,09
11;11;37,71;16121,14;0,47;6,3;0,0;6,3;0,47;38,4;0,0;38,4;37,71;2765640,58;774814,73;762171,84;-28764,03;0,0;13,34;81,09
12;12;36,59;15495,07;0,6;7,94;0,0;7,94;0,43;34,89;0,0;34,89;36,59;2760281,26;751804,82;761940,57;-5359,32;0,0;13,34;81,09
13;13;33,98;15338,56;0,57;7,66;0,0;7,66;0,35;28,4;0,0;28,4;33,98;2808550,95;698101,05;761709,31;48269,7;0,0;13,34;81,09
14;14;33,6;15182,04;0,38;5,06;0,0;5,06;0,24;19,52;0,0;19,52;33,6;2864417,87;690429,09;761478,04;55866,91;0,0;13,34;81,09
15;15;33,6;15025,52;0,17;2,26;0,0;2,26;0,11;9,14;0,0;9,14;33,6;2920210,03;690429,09;761246,78;55792,17;0,0;13,34;81,09
16;16;36,96;16434,17;0,08;1,06;0,0;1,06;0,01;0,81;0,0;0,81;36,96;2905320,58;759470,8;761015,51;-14889,45;0,0;13,34;81,09
17;17;40,32;18781,91;0,07;0,96;0,0;0,96;0,0;0,0;0,0;0,0;40,32;2818804,42;828518,5;760784,25;-86516,16;0,0;13,34;81,09
18;18;44,43;21912,22;0,06;0,78;0,0;0,78;0,0;0,0;0,0;0,0;44,43;2644541,04;912904,14;760552,98;-174263,39;0,0;13,34;81,09
19;19;42,94;23164,35;0,07;0,96;0,0;0,96;0,0;0,0;0,0;0,0;42,94;2499482,13;882216,28;760321,72;-145058,91;0,0;13,34;81,09
20;20;39,58;22225,25;0,1;1,36;0,0;1,36;0,0;0,0;0,0;0,0;39,58;2424172,76;813174,57;760090,45;-75309,37;0,0;13,34;81,09
21;21;35,47;20347,06;0,12;1,6;0,0;1,6;0,0;0,0;0,0;0,0;35,47;2434895,96;728788,92;759859,19;10723,2;0,0;13,34;81,09
22;22;32,11;17216,75;0,11;1,48;0,0;1,48;0,0;0,0;0,0;0,0;32,11;2517559,92;659747,21;759627,92;82663,96;0,0;13,34;81,09
23;23;23,9;12521,27;0,09;1,26;0,0;1,26;0,0;0,0;0,0;0,0;23,9;2773462,38;490972,93;759396,66;255902,46;0,0;13,34;81,09
24;24;23,15;10956,11;0,03;0,46;0,0;0,46;0,0;0,0;0,0;0,0;23,15;3046041,47;475630,19;759165,39;272579,09;0,0;13,34;81,09
25;25;22,78;7825,79;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;22,78;3329190,98;467958,82;758934,13;283149,51;0,0;13,34;81,09
26;26;22,78;5947,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;22,78;3613987,42;467958,82;758702,86;284796,44;0,0;13,34;81,09
27;27;23,9;4695,48;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;23,9;3876790,61;490972,93;758471,6;262803,19;0,0;13,34;81,09
28;28;26,14;5947,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;26,14;4092081,61;537001,73;758240,33;215291,0;0,0;13,34;81,09
29;29;29,12;9077,92;0,0;0,0;0,0;0,0;0,02;1,28;0,0;1,28;29,12;4242639,48;598373,27;758009,07;150557,87;0,0;13,34;81,09
30;30;32,48;17373,26;0,0;0,0;0,0;0,0;0,12;10,12;0,0;10,12;32,48;4315624,85;667419,18;757777,8;72985,36;0,0;13,34;81,09
31;31;35,1;21599,19;0,02;0,27;0,0;0,27;0,25;20,2;0,0;20,2;35,1;4330455,24;721116,96;757546,54;14830,39;0,0;13,34;81,09
32;32;35,84;22694,8;0,04;0,54;0,0;0,54;0,36;28,83;0,0;28,83;35,84;4328614,82;736460,89;757315,27;-1840,42;0,0;13,34;81,09
33;33;36,96;21129,64;0,09;1,16;0,0;1,16;0,44;35,49;0,0;35,49;36,96;4305098,39;759470,8;757084,01;-23516,43;0,0;13,34;81,09
