;Hour;Energy Demand;Water Demand;Factor Wind;Wind Output;Wind Usage;Wind Over;Factor PV;PV Output;PV Usage;PV Over;Dam Output;Storage;Turbine Water;River;Water Balance;Valve;Installed Wind;Installed PV;Valve_nan
1800;1800;8,91;3642,03;0,3;16,94;8,91;8,03;0,0;0,0;0,0;0,0;0,0;5604268,1;0,0;49688,9;46046,87;0,0;56,85;51,64;
1801;1801;8,77;2601,45;0,28;16,07;8,77;7,3;0,0;0,0;0,0;0,0;0,0;5651354,09;0,0;49687,44;47085,98;0,0;56,85;51,64;
1802;1802;8,91;1977,1;0,16;9,0;8,91;0,09;0,0;0,0;0,0;0,0;0,0;5699062,95;0,0;49685,97;47708,86;0,0;56,85;51,64;
1803;1803;9,05;1560,87;0,06;3,68;3,68;0,0;0,0;0,0;0,0;0,0;5,37;5636815,82;110370,76;49684,5;-62247,13;0,0;56,85;51,64;
1804;1804;9,19;1977,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,19;5495791,96;188729,79;49683,03;-141023,86;0,0;56,85;51,64;
1805;1805;9,46;3017,68;0,0;0,0;0,0;0,0;0,04;1,93;0,0;1,93;9,46;5348092,34;194363,49;49681,56;-147699,61;0,0;56,85;51,64;
1806;1806;10,83;5775,22;0,0;0,0;0,0;0,0;0,14;7,34;7,34;0,0;3,49;5320341,69;71655,52;49680,09;-27750,65;0,0;56,85;51,64;
1807;1807;11,93;7180,01;0,0;0,0;0,0;0,0;0,26;13,44;11,93;1,51;0,0;5362840,31;0,0;49678,63;42498,62;0,0;56,85;51,64;
1808;1808;12,06;7544,21;0,01;0,63;0,0;0,63;0,36;18,49;12,06;6,43;0,0;5404973,26;0,0;49677,16;42132,95;0,0;56,85;51,64;
1809;1809;12,06;7023,92;0,09;5,37;0,0;5,37;0,4;20,51;12,06;8,44;0,0;5447625,03;0,0;49675,69;42651,77;0,0;56,85;51,64;
1810;1810;11,38;5983,34;0,23;12,98;0,0;12,98;0,4;20,72;11,38;9,34;0,0;5491315,91;0,0;49674,22;43690,88;0,0;56,85;51,64;
1811;1811;11,65;5358,99;0,3;16,94;0,0;16,94;0,37;19,36;11,65;7,71;0,0;5535629,67;0,0;49672,75;44313,76;0,0;56,85;51,64;
1812;1812;12,2;5150,87;0,18;10,25;10,25;0,0;0,31;15,91;1,95;13,96;0,0;5580150,08;0,0;49671,28;44520,41;0,0;56,85;51,64;
1813;1813;12,2;5098,84;0,05;2,65;0,67;1,98;0,22;11,53;11,53;0,0;0,0;5624721,05;0,0;49669,81;44570,97;0,0;56,85;51,64;
1814;1814;11,79;5046,82;0,09;5,37;4,07;1,31;0,15;7,72;7,72;0,0;0,0;5669342,58;0,0;49668,35;44621,53;0,0;56,85;51,64;
1815;1815;10,97;4994,79;0,15;8,38;8,38;0,0;0,08;4,0;2,59;1,41;0,0;5714014,68;0,0;49666,88;44672,09;0,0;56,85;51,64;
1816;1816;11,38;5463,05;0,31;17,81;11,38;6,44;0,02;0,84;0,0;0,84;0,0;5758217,04;0,0;49665,41;44202,36;0,0;56,85;51,64;
1817;1817;12,61;6243,48;0,51;29,1;12,61;16,49;0,0;0,0;0,0;0,0;0,0;5801637,5;0,0;49663,94;43420,46;0,0;56,85;51,64;
1818;1818;13,71;7284,06;0,53;30,23;13,71;16,52;0,0;0,0;0,0;0,0;0,0;5844015,91;0,0;49662,47;42378,41;0,0;56,85;51,64;
1819;1819;14,67;7700,3;0,43;24,6;14,67;9,93;0,0;0,0;0,0;0,0;0,0;5885976,62;0,0;49661,0;41960,71;0,0;56,85;51,64;
1820;1820;14,39;7388,12;0,38;21,57;14,39;7,18;0,0;0,0;0,0;0,0;0,0;5928248,03;0,0;49659,54;42271,42;0,0;56,85;51,64;
1821;1821;12,34;6763,77;0,31;17,81;12,34;5,48;0,0;0,0;0,0;0,0;0,0;5971142,33;0,0;49658,07;42894,3;0,0;56,85;51,64;
1822;1822;11,1;5723,19;0,31;17,81;11,1;6,71;0,0;0,0;0,0;0,0;0,0;6015075,74;0,0;49656,6;43933,41;0,0;56,85;51,64;
1823;1823;9,87;4162,32;0,28;16,07;9,87;6,2;0,0;0,0;0,0;0,0;0,0;6060568,55;0,0;49655,13;45492,81;0,0;56,85;51,64;
1824;1824;9,19;3642,03;0,49;27,98;9,19;18,79;0,0;0,0;0,0;0,0;0,0;6106580,18;0,0;49653,66;46011,63;0,0;56,85;51,64;
1825;1825;9,05;2601,45;0,36;20,57;9,05;11,52;0,0;0,0;0,0;0,0;0,0;6153630,92;0,0;49652,19;47050,74;0,0;56,85;51,64;
1826;1826;8,91;1977,1;0,18;10,25;8,91;1,34;0,0;0,0;0,0;0,0;0,0;6201304,54;0,0;49650,73;47673,62;0,0;56,85;51,64;
1827;1827;8,91;1560,87;0,05;2,99;0,0;2,99;0,0;0,0;0,0;0,0;8,91;6066297,04;183095,89;49649,26;-135007,5;0,0;56,85;51,64;
1828;1828;9,05;1977,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,05;5928054,79;185912,94;49647,79;-138242,25;0,0;56,85;51,64;
1829;1829;9,05;3017,68;0,0;0,0;0,0;0,0;0,03;1,77;1,77;0,0;7,28;5825092,84;149590,59;49646,32;-102961,95;0,0;56,85;51,64;
1830;1830;9,19;5775,22;0,0;0,0;0,0;0,0;0,13;6,8;6,8;0,0;2,39;5819934,05;49028,43;49644,85;-5158,8;0,0;56,85;51,64;
1831;1831;9,73;7180,01;0,0;0,0;0,0;0,0;0,25;12,76;9,73;3,02;0,0;5862397,43;0,0;49643,38;42463,38;0,0;56,85;51,64;
1832;1832;9,73;7544,21;0,0;0,0;0,0;0,0;0,35;18,11;9,73;8,38;0,0;5904495,13;0,0;49641,92;42097,71;0,0;56,85;51,64;
1833;1833;9,87;7023,92;0,02;1,16;0,0;1,16;0,41;21,32;9,87;11,45;0,0;5947111,66;0,0;49640,45;42616,53;0,0;56,85;51,64;
1834;1834;9,6;5983,34;0,11;6,31;0,0;6,31;0,46;23,58;9,6;13,98;0,0;5990767,31;0,0;49638,98;43655,64;0,0;56,85;51,64;
1835;1835;9,32;5358,99;0,33;18,69;9,32;9,36;0,46;23,5;0,0;23,5;0,0;6035045,83;0,0;49637,51;44278,52;0,0;56,85;51,64;
1836;1836;9,19;5150,87;0,4;22,58;9,19;13,4;0,39;19,91;0,0;19,91;0,0;6079531,0;0,0;49636,04;44485,17;0,0;56,85;51,64;
1837;1837;9,6;5098,84;0,22;12,24;0,0;12,24;0,3;15,64;0,0;15,64;9,6;5926886,39;197180,34;49634,57;-152644,61;0,0;56,85;51,64;
1838;1838;9,73;5046,82;0,05;2,65;0,0;2,65;0,2;10,25;9,73;0,52;0,0;5971472,68;0,0;49633,11;44586,29;0,0;56,85;51,64;
1839;1839;10,14;4994,79;0,08;4,53;4,53;0,0;0,09;4,87;0,0;4,87;5,62;5900648,75;115460,77;49631,64;-70823,92;0,0;56,85;51,64;
1840;1840;10,56;5463,05;0,09;4,95;4,95;0,0;0,02;1,01;1,01;0,0;4,6;5850302,15;94513,73;49630,17;-50346,61;0,0;56,85;51,64;
1841;1841;13,98;6243,48;0,24;13,72;13,72;0,0;0,0;0,0;0,0;0,0;0,26;5888288,5;5398,87;49628,7;37986,35;0,0;56,85;51,64;
1842;1842;14,81;7284,06;0,79;44,79;14,81;29,98;0,0;0,0;0,0;0,0;0,0;5930631,67;0,0;49627,23;42343,17;0,0;56,85;51,64;
1843;1843;14,26;7700,3;0,81;45,86;14,26;31,6;0,0;0,0;0,0;0,0;0,0;5972557,14;0,0;49625,76;41925,47;0,0;56,85;51,64;
1844;1844;13,02;7388,12;0,64;36,29;13,02;23,27;0,0;0,0;0,0;0,0;0,0;6014793,31;0,0;49624,3;42236,17;0,0;56,85;51,64;
1845;1845;11,93;6763,77;0,55;31,44;11,93;19,51;0,0;0,0;0,0;0,0;0,0;6057652,37;0,0;49622,83;42859,05;0,0;56,85;51,64;
1846;1846;10,42;5723,19;0,43;24,6;10,42;14,18;0,0;0,0;0,0;0,0;0,0;6101550,54;0,0;49621,36;43898,17;0,0;56,85;51,64;
1847;1847;9,19;4162,32;0,3;16,94;9,19;7,76;0,0;0,0;0,0;0,0;0,0;6147008,11;0,0;49619,89;45457,57;0,0;56,85;51,64;
1848;1848;8,36;3642,03;0,43;24,6;8,36;16,24;0,0;0,0;0,0;0,0;0,0;6192984,5;0,0;49618,42;45976,39;0,0;56,85;51,64;
1849;1849;8,64;2601,45;0,24;13,72;8,64;5,08;0,0;0,0;0,0;0,0;0,0;6240000,0;0,0;49616,95;47015,5;0,0;56,85;51,64;
1850;1850;9,32;1977,1;0,06;3,68;3,68;0,0;0,0;0,0;0,0;0,0;5,65;6171633,92;116004,46;49615,49;-68366,08;0,0;56,85;51,64;
1851;1851;10,42;1560,87;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,42;6005605,22;214081,85;49614,02;-166028,7;0,0;56,85;51,64;
1852;1852;11,65;1977,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,65;5813807,37;239433,3;49612,55;-191797,86;0,0;56,85;51,64;
